run,arm,stage,head_init,optimizer,lr,weight_decay,batch_size,label_smoothing,unfreeze_blocks,augment_train,epochs,data_version,repeat_of,val_accuracy,test_accuracy,best_epoch,seconds,train_accuracy_at_best
A010,A,tuning,pytorch_linear,adam,0.068455702672729,0.0003979191958343,32,0.0686377246079334,,,,f69624bde9e7,,0.948051929473877,,29.0,4.125999927520752,0.9903784394264221
armB_structural_grid,B,tuning,,,,,,,,,15,f69624bde9e7,,,,,,
armA_head_search,A,tuning,,,,,,,,,,f69624bde9e7,,,,,,
A026_seed1337,A-repeat,seed_repeat,pytorch_linear,adam,0.0044313123407843,0.0095655132189409,64,0.0631373787620353,,,,f69624bde9e7,A026,0.9837662577629089,,19.0,2.500540256500244,0.9987171292304993
A026_seed42,A-repeat,seed_repeat,pytorch_linear,adam,0.0044313123407843,0.0095655132189409,64,0.0631373787620353,,,,f69624bde9e7,A026,0.9837662577629089,,27.0,2.8299925327301025,0.9987171292304993
A024_seed1337,A-repeat,seed_repeat,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,,,,f69624bde9e7,A024,0.9837662577629089,,19.0,2.319342613220215,0.9993585348129272
A024_seed42,A-repeat,seed_repeat,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,,,,f69624bde9e7,A024,0.9837662577629089,,27.0,2.914841890335083,0.9987171292304993
A021_seed42,A-repeat,seed_repeat,pytorch_linear,adam,0.004465635004468,0.0062971030282468,64,0.0859649875195551,,,,f69624bde9e7,A021,0.9837662577629089,,27.0,2.268998622894287,1.0
A026_seed2026,A-repeat,seed_repeat,pytorch_linear,adam,0.0044313123407843,0.0095655132189409,64,0.0631373787620353,,,,f69624bde9e7,A026,0.9805194735527039,,5.0,1.8737099170684814,0.9980756640434265
A024_seed2026,A-repeat,seed_repeat,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,,,,f69624bde9e7,A024,0.9805194735527039,,5.0,1.7749226093292236,0.9993585348129272
A021_seed2026,A-repeat,seed_repeat,pytorch_linear,adam,0.004465635004468,0.0062971030282468,64,0.0859649875195551,,,,f69624bde9e7,A021,0.9805194735527039,,5.0,1.482940912246704,0.9993585348129272
A021_seed1337,A-repeat,seed_repeat,pytorch_linear,adam,0.004465635004468,0.0062971030282468,64,0.0859649875195551,,,,f69624bde9e7,A021,0.9772727489471436,,15.0,2.275291919708252,1.0
final_B_unfreeze2_aug,B,final,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,2,True,15,f69624bde9e7,,1.0,1.0,,,
